0.01			0.4523592773
0.02			0.4593085476
0.03			0.4627831828
0.04			0.4655628909
0.05			0.4745969423
0.06			0.4759867964
0.07			0.4794614315
0.08			0.4815462126
0.09			0.4836309937
0.1			0.4843259208
0.11			0.4926650452
0.12			0.4975295344
0.13			0.4989193885
0.14			0.5023940236
0.15			0.5023940236
0.16			0.5044788047
0.17			0.510038221
0.18			0.5135128562
0.19			0.5162925643
0.2			0.5183773454
0.21			0.5204621265
0.22			0.5218519805
0.23			0.5281063238
0.24			0.5281063238
0.25			0.5294961779
0.26			0.5336657401
0.27			0.5336657401
0.28			0.5350555942
0.29			0.5378353023
0.3			0.5399200834
0.31			0.5413099375
0.32			0.5433947186
0.33			0.5447845726
0.34			0.5447845726
0.35			0.5461744267
0.36			0.5482592078
0.37			0.5482592078
0.38			0.5510389159
0.39			0.5517338429
0.4			0.5510389159
0.41			0.5517338429
0.42			0.553123697
0.43			0.553818624
0.44			0.5545135511
0.45			0.5545135511
0.46			0.5552084781
0.47			0.5552084781
0.48			0.5565983322
0.49			0.5579881862
0.5			0.5586831133
0.51			0.5600729673
0.52			0.5579881862
0.53			0.5586831133
0.54			0.5579881862
0.55			0.5607678944
0.56			0.5628526755
0.57			0.5656323836
0.58			0.5698019458
0.59			0.5704968728
0.6			0.573971508
0.61			0.5698019458
0.62			0.5718867269
0.63			0.5704968728
0.64			0.5725816539
0.65			0.574666435
0.66			0.573971508
0.67			0.5809207783
0.68			0.5774461432
0.69			0.5767512161
0.7			0.5774461432
0.71			0.5781410702
0.72			0.5788359972
0.73			0.5781410702
0.74			0.5753613621
0.75			0.5718867269
0.76			0.5711917999
0.77			0.5677171647
0.78			0.5614628214
0.79			0.5593780403
0.8			0.5545135511
0.81			0.55242877
0.82			0.5496490618
0.83			0.5475642808
0.84			0.5447845726
0.85			0.5426997915
0.86			0.5406150104
0.87			0.5385302293
0.88			0.5343606671
0.89			0.530886032
0.9			0.5246316887
0.91			0.5232418346
0.92			0.5190722724
0.93			0.5155976372
0.94			0.5121230021
0.95			0.5114280751
0.96			0.5058686588
0.97			0.5016990966
0.98			0.5016990966
0.99			0.4989193885
1			0.4947498263
